"Data generated on Friday, December 23, 2022 at 1:07:23 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.3","2002900080","TOMATO NES,PR/PS","322","56","516","31","1,550","1,476","121","-92","26","MX","2002900080",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.4","2002100000","TOMATO,WHL/PCS P","622","540","415","1,441","919","740","1,418","92","26","MX","2002100000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.5","2103204050","TMTO SAUCES NES","316","153","274","232","302","256","389","52","26","MX","2103204050",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.6","2005200020","POTATO CHIPS,P/P","55","152","174","101","137","98","99","","26","MX","2005200020",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.7","2103202000","TOMATO KETCHUP","75","178","91","114","71","71","68","-3","26","MX","2103202000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.8","2103204010","ORG TMTO SAUC NE","75","13","93","57","28","28","50","80","26","MX","2103204010",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.9","2001100000","CUCUMBERS,PR/PS","14","0","0","0","10","7","3","-66","26","MX","2001100000",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.10","2001906500","VEG/FRT/NTS,P/PS","0","0","5","0","10","10","0","","26","MX","2001906500",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.11","2005514020","BEANS NES CANNED","0","0","0","0","4","4","0","","26","MX","2005514020",
"1","NOGALES, ARIZ.","1","Mexico","1.2.2.12","0711905000","ONIONS, PRV PRES","6","0","0","0","0","0","0","","26","MX","0711905000",
